"%s - Repsonse: %s","%s - Antwoord: %s"
"%s new review(s)","%s nieuwe beoordeling(en)"
"%s review(s) updated","%s beoordeling(en) geupdate"
"API CREDENTIALS","API Gegevens"
"Activate","Activeren"
"Active","Actief"
"Add Rich Snippets","Voeg Rich Snippets toe"
"Add to Sidebar","Sidebar toevoegen"
"Add to Sidebar Homepage","Voeg toe aan sidebar op Homepage"
"Api URL","Api URL"
"Are you sure you want to cleanup logfiles?","Definitief de logfiles opschonen?"
"Are you sure you want to delete all reviews?","Definitief alle beoordelingen verwijderen?"
"Auto Cleaning","Automatisch opruimen"
"Based on %s reviews","Gebaseerd op %s beoordelingen"
"Change only if necessary","Verander alleen indien noodzakelijk"
"City","Plaats"
"Clean after Days","Opschonen na aantal dagen"
"Cleanup Log","Schoonmaak log"
"Comma Separated, as: 10,20,30","Komma gescheiden als: 10,20,30"
"Company","Bedrijf"
"Company ID","Bedrijfs ID"
"Company Import","Bedrijfs import"
"Connector Code","Connector code"
"Cron","Cron"
"Date","Datum"
"Delay","Vertraging"
"Delete","Verwijder"
"Delete all reviews","Verwijder alle beoordelingen"
"Description","Omschrijving"
"Email","E-mail"
"Enable Log Function","Activeer logfunctie"
"Enabled","Activeer"
"Every 15 minutes","Elke 15 minuten"
"Every Hour","Elk uur"
"Every other Hour","Om het uur"
"External (Kiyoh.nl)","Extern (KiyOh.nl)"
"General configuration","Algemene informatie"
"Internal (/kiyoh)","Intern (/kiyoh)"
"Invitation","Herinnering"
"Invitation Call","Herinnering e-mail"
"Invitation to write the customer experience","Herinnering om een beoordeling te schrijven"
"Kihoy.com","KihOy.com"
"KiyOh","KiyOh"
"KiyOh Connect Permission Setting","KiyOh Connect permissie instellingen"
"KiyOh Custom Blocks","KiyOh elementen"
"KiyOh Log Settings","KiyOh log settings"
"KiyOh Overview Page","KiyOh overzichtpagina"
"KiyOh Reviews Sidebar","KiyOh beoordeling sidebar"
"Kiyoh","KiyOh"
"Kiyoh Import Reviews","KiyOh beoordelingen importeren"
"Kiyoh Logs","KiyOh Logs"
"Kiyoh Reviews","KiyOh beoordelingen"
"Kiyoh.nl","KiyOh.nl"
"Last Update","Laatste Update"
"Left","Links"
"Left Sidebar","Linker sidebar"
"Length of Reviews","Lengte van beoordelingen"
"Link to","Link naar"
"Localisation","Lokalisatie"
"Magmodules","Magmodules"
"Manage Reviews","Beheer Beoordelingen"
"Manage Log","Beheer Log"
"Manual","Handleiding"
"Maximum Delay","Maximale vertraging"
"Meta Data","Meta Data"
"Meta Keywords","Meta zoekwoorden"
"Negative","Verbeterpunten"
"No","Nee"
"No reviews found...","Geen beoordelingen gevonden..."
"None","Geen"
"Number of Reviews","Aantal beoordelingen"
"Number of days to complete order may last, if it takes longer then no invitation will be sent. Read more about this feature on Kiyoh.nl.","Aantal dagen dat een order oud mag zijn alvorens de herinnering wordt verstuurd, als het wijzigen van de orderstatus langer duurt wordt er niks verstuurd."
"Once a Day","Eens per dag"
"Once a Week","Eens per week"
"Overall","Overall"
"Please select item(s)","Selecteer item(s)"
"Positive","Pluspunten"
"Positive points:","Positieve punten:"
"Process Manually","Voer handmatig uit"
"Rating %s based on %s customer reviews","Beoordeling %s gebaseerd op %s klantbeoordelingen"
"Reaction","Reactie"
"Recommend","Aanbevolen"
"Recommend:","Aanbevolen:"
"Recommendation","Aanbeveling"
"Remove from Sidebar","Verwijder van sidebar"
"Reviews","Beoordelingen"
"Reviews Cron","Beoordeling Cron"
"Right","Rechts"
"Right Sidebar","Rechter Sidebar"
"Score","Score"
"Set to invisible","Stel in als niet zichtbaar"
"Set to visible","Maak zichtbaar"
"Send customers automatically receive an invitation to share a customer experience.","Stuur klanten automatisch een e-mail met de herinnering om een beoordeling te schrijven."
"Send the invitation x days after the order is completed","Stuur de herinnering een x aantal dagen nadat de geselecteerde status is bereikt."
"Shop","Winkel"
"Sidebar","Sidebar"
"Stats Cron","Statistieken Cron"
"Succefully deleted all %s saved review(s).","Alle %s opgeslagen beoordelingen zijn succesvol verwijdert."
"Suggestions","Suggesties"
"Suggestions:","Suggesties"
"Specify at which status you want to send the invitation. Default is ""Completed"".","Specificeer vanaf welke status de herinnering verzonden dient te worden. Standaard is ""Completed""."
"Test API","Test API"
"Time","Tijd"
"Total of %d log record(s) deleted.","Een totaal van %d log rij(en) zijn verwijdert."
"Total of %d review(s) were added to the sidebar.","Een totaal van %d beoordeling(en) zijn aan de sidebar toegevoegd."
"Total of %d review(s) were disabled.","Een totaal van %d beoordeling(en) zijn uitgeschakeld."
"Total of %d review(s) were enabled.","Een totaal van %d beoordeling(en) zijn uitgeschakeld."
"Total of %d review(s) were removed from the sidebar.","Een totaal van %d beoordeling(en) zijn verwijdert uit de sidebar"
"Total of %s log record(s) deleted.","Een totaal van %s log rijen(s) verwijdert."
"This will ensure that the customer receives the invitation shortly after receiving the product and not before. This increases the opportunity that the client will share his experience.","Dit zal ervoor zorgen dat de klant na ontvangst van het product nogmaals een uitnodiging ontvangt. Dit vergroot de kans dat de klant zijn ervaring zal delen."
"Twice a Day","Tweemaal per dag"
"Type","Type"
"Update Review History","Update Beoordeling historie"
"Update Reviews","Update beoordelingen"
"Update Summary","Update samenvatting"
"Url","Url"
"Use the company email address registered with Kiyoh, this is used as en extra validation.","Gebruik het e-mail adres waarmee kiyOh geregistreerd staat, dit wordt gebruikt als extra validatie"
"Use Cronjob","Gebruik Cronjob"
"User","Gebruiker"
"View all reviews","Bekijk alle beoordelingen"
"Webwinkel ID %s:","Webwinkel ID %s:"
"Webwinkel ID %s: no updates found, feed is empty or not found!","Webwinkel ID %s: geen updates gevonden, feed is leeg of niet beschikbaar."
"Write review","Schrijf beoordeling"
"Yes","Ja"
"You can find this information in your Kiyoh account","Je kunt deze informatie vinden in je KiyOh account."
"You can only activate the Rich Snippets when this block is shown on your Homepage only","U kunt deze optie enkel activeren wanneer de sidebar op de homepage wordt vertoond. Indien u ook gebruikt maakt van de homepage widget dan raden wij u aan deze optie uit te schakelen om dubbele Rich Snippets te voorkomen."
"and total score updated.","totaal score geüpdate."
"on","via"
"total score updated","totaal score geüpdate"
"<p>The extension comes with two coded blocks.<br>With this blocks you can add  your store rating in a Static block or CMS page.</p><p><br><strong>The Rich Snippets Block.<br></strong>Show your Store-rating with this block and generate results in the Google Search Engine Results better known as Rich Snippets.<br>Paste the code  below at the desired location using a Static Block or a CMS page.</p><p>Code: {{block type=""kiyoh/snippets"" name=""kiyohsnippets""}}</p><p><br><strong>Custom Block.</strong><br>With this block you can create  custom block for footer of header, you can paste the code  below at the desired location using a Static Block or a CMS page.<br>To edit this block you need to edit the .phtml file located in the following path: app/design/frontend/base/default/template/magmodules/kiyoh/widget/custom.phtml</p><p>Code: {{block type=""kiyoh/custom"" name=""kiyoh""}}</p>","<p>Deze extensie komt met 2 verschillende blokken.<br>Met deze blokken kan je de winkelbeoordeling in een static-block of CMS pagina plaatsen.</p><p><br><strong>Het Rich Snippets blok.</strong><br></strong>Toon de webwinkel-waardering met in blok  en genereer hiermee de zogenaamde Rich Snippets waarbij de winkelbeoordelingen worden getoond in de Zoekmachine resultaten van bijvoorbeeld Google. Plaat de onderstaande code op de gewenste plaats in een statische blok of een CMS-pagina.</p> <p><strong>De code: </strong>{{block type=""kiyoh/snippets"" name=""kiyohsnippets""}}</p><p><br><strong>Custom blok.</strong><br>Met dit custom blok is het mogelijk om eenvoudig een eigen blok creëren met daarin verschillende waardes als het aantal klanbeoordelingen, bedrijfsnaam en gemiddelde rating. Plaats de onderstaande code op de gewenste plek  in  een statisch blok of een CMS-pagina. Om dit blok naar wens te bewerken en eventueel aan te vullen met de geweneste informatie is het mogelijk om het .phtml bestand aan te passen. Deze is te vinden via de volgende path: app/design/frontend/base/default/template/magmodules/kiyoh/widget/custom.phtml </p><p><strong>De code:</strong> {{block type=""kiyoh/custom"" name=""kiyoh""}}</p>"
"Rating %s based on %s customer reviews","totaal %s tevreden klanten op basis van %s beoordelingen"
"When using both sidebars make sure you only activate the Rich Snippets for only one sidebar","Zorg ervoor dat er maar 1 Rich Snippet actief is bij gebruik van beide sidebars."
